Data	Variables	Labels	Cross Val	Accuracy	Edit Score
PT	velocity	gesture	LOSO	88.57415169293222	84.06820111615964
PT	velocity	gesture	LOSO	87.94699326933436	88.02249321559668
PT	velocity	gesture	LOSO	87.24878355418632	80.08260370169717
PT	velocity	gesture	LOSO	86.72909438212905	82.34682189755229
PT	velocity	gesture	LOSO	89.49731629186346	87.1851539110994
PT	velocity	gesture	LOSO	88.44677111122778	85.17968136198006
PT	velocity	gesture	LOSO	87.23831392376768	84.66055208609062
PT	velocity	gesture	LOSO	88.51298474305038	85.13316421806309
PT	velocity	gesture	LOSO	90.40736856711717	86.70889690622379
PT	velocity	gesture	LOSO	88.53952142151772	84.24948682031311
